pc_time,timestamp_ms,elapsed_s,phase,direction_deg,target_speed_mps,stm32_cmd_speed_mps,actual_speed_mps,speed_error_mps,status_transport_delay_s,test_mode,test_state,fault,flags,vesc_online,imu_online,rc_online,control_valid,target_vx,target_vy,target_wz,actual_vx,actual_vy,actual_wz,vx_error,lf_target_rpm,lf_feedback_rpm,rf_target_rpm,rf_feedback_rpm,lb_target_rpm,lb_feedback_rpm,rb_target_rpm,rb_feedback_rpm,gyro_z,yaw,odom_x,odom_y,odom_yaw
2026-08-03T14:53:10.011,3483,0.86,step,0.0,0.5,,0.31015127897262573,0.18984872102737427,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.31015127897262573,-0.0037421369925141335,-0.006145615130662918,0.18984872102737427,-5282,-5089,-5309,-4743,5388,5074,5359,5133,-0.023435818031430244,-0.001037567388266325,0.001561539014801383,0.1510796993970871,-0.0594482347369194
2026-08-03T14:53:10.029,3503,0.88,step,0.0,0.5,,0.3158360421657562,0.18416395783424377,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.3158360421657562,-0.005044424906373024,-0.009842853993177414,0.18416395783424377,-5387,-5192,-5430,-4743,5501,5176,5474,5206,-0.002130528911948204,-0.0013784520560875535,0.0032368036918342113,0.15605999529361725,-0.0789794847369194
2026-08-03T14:53:10.047,3523,0.9,step,0.0,0.5,,0.32315927743911743,0.17684072256088257,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.32315927743911743,-0.00464908080175519,0.011468390002846718,0.17684072256088257,-5515,-5291,-5517,-5273,5630,5309,5565,5338,0.03195793181657791,-0.0009736515348777175,-0.0035294033586978912,0.16963587701320648,-0.0557861253619194
2026-08-03T14:53:10.077,3543,0.92,step,0.0,0.5,,0.33157074451446533,0.16842925548553467,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.33157074451446533,-0.0036222373601049185,0.012263385578989983,0.16842925548553467,-5627,-5425,-5617,-5273,5738,5459,5672,5470,-0.00532632227987051,-0.0005502089625224471,-0.0017929396126419306,0.1748531609773636,-0.0315246507525444
2026-08-03T14:53:10.095,3563,0.94,step,0.0,0.5,,0.33920079469680786,0.16079920530319214,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.33920079469680786,-0.0033866791054606438,-0.0033337040804326534,0.16079920530319214,-5721,-5516,-5738,-5273,5833,5637,5796,5561,-0.007456851191818714,-0.0008484830032102764,-9.622354991734028e-05,0.18014834821224213,-0.0486144945025444
2026-08-03T14:53:10.112,3583,0.96,step,0.0,0.5,,0.3458044230937958,0.15419557690620422,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.3458044230937958,-0.003291194560006261,0.008753675036132336,0.15419557690620422,-5842,-5603,-5837,-5273,5957,5758,5896,5664,0.022370552644133568,-0.0006141248159110546,0.0016656438820064068,0.18557654321193695,-0.0351867601275444
2026-08-03T14:53:10.129,3603,0.98,step,0.0,0.5,,0.35209232568740845,0.14790767431259155,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.35209232568740845,-0.004378308076411486,0.004904728848487139,0.14790767431259155,-5949,-5757,-5952,-5273,6071,5834,6008,5806,-0.01065264455974102,-0.00042504037264734507,0.0035242517478764057,0.19108158349990845,-0.024353019893169403
2026-08-03T14:53:10.144,3623,1.0,step,0.0,0.5,,0.35993850231170654,0.14006149768829346,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.35993850231170654,-0.003730631433427334,-0.010523646138608456,0.14006149768829346,-6043,-5840,-6071,-5865,6164,5936,6133,5876,-0.01810949482023716,-0.000832504010759294,-0.00404392508789897,0.2061695158481598,-0.0476989671587944
2026-08-03T14:53:10.176,3643,1.02,step,0.0,0.5,,0.36797818541526794,0.13202181458473206,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.36797818541526794,-0.00217094155959785,0.002907746471464634,0.13202181458473206,-6165,-5937,-6162,-5865,6280,6030,6233,5983,0.015978965908288956,-0.0006993459537625313,-0.0021619810722768307,0.21189822256565094,-0.0400695726275444
2026-08-03T14:53:10.197,3663,1.04,step,0.0,0.5,,0.375057190656662,0.12494280934333801,,1,1,0,15,1,1,1,1,0.5,0.0,0.0,0.375057190656662,-0.002137894742190838,-0.0012173366267234087,0.12494280934333801,-6271,-6075,-6274,-5865,6388,6130,6346,6118,-0.01810949482023716,-0.0006354301003739238,-0.00023660119040869176,0.2177300900220871,-0.0364074632525444
