pc_time,stm32_us,roll_deg,pitch_deg,yaw_deg,yaw_total_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,acc_x_g,acc_y_g,acc_z_g,state,rx_count,valid_count,last_error,last_std_id,last_ext_id,last_ide,last_rtr,last_dlc,last_type,error_count,hal_error_count,acc_count,gyro_count,angle_count,yaw_count,config_attempt_count,config_done,config_tx_count,config_tx_error_count,last_config_status
2026-05-25T20:35:35.918,374712549,-1.4160000085830688,-0.05299999937415123,-0.0009999275207519531,-0.0009999275207519531,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445684,445674,8,80,0,0,0,8,83,10,1,74279,74279,222837,74279,1,1,5,0,0
2026-05-25T20:35:35.923,374717548,-1.4160000085830688,-0.05299999937415123,0.0,0.0,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445690,445680,8,80,0,0,0,8,83,10,1,74280,74280,222840,74280,1,1,5,0,0
2026-05-25T20:35:35.928,374722546,-1.4160000085830688,-0.05299999937415123,0.0,0.0,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445696,445686,8,80,0,0,0,8,83,10,1,74281,74281,222843,74281,1,1,5,0,0
2026-05-25T20:35:35.933,374727549,-1.4160000085830688,-0.05299999937415123,0.0,0.0,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445702,445692,8,80,0,0,0,8,83,10,1,74282,74282,222846,74282,1,1,5,0,0
2026-05-25T20:35:35.938,374732557,-1.4160000085830688,-0.05299999937415123,0.0,0.0,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445708,445698,8,80,0,0,0,8,83,10,1,74283,74283,222849,74283,1,1,5,0,0
2026-05-25T20:35:35.943,374737546,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445714,445704,8,80,0,0,0,8,83,10,1,74284,74284,222852,74284,1,1,5,0,0
2026-05-25T20:35:35.948,374742548,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445720,445710,8,80,0,0,0,8,83,10,1,74285,74285,222855,74285,1,1,5,0,0
2026-05-25T20:35:35.953,374747549,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445726,445716,8,80,0,0,0,8,83,10,1,74286,74286,222858,74286,1,1,5,0,0
2026-05-25T20:35:35.958,374752546,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445732,445722,8,80,0,0,0,8,83,10,1,74287,74287,222861,74287,1,1,5,0,0
2026-05-25T20:35:35.963,374757549,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445738,445728,8,80,0,0,0,8,83,10,1,74288,74288,222864,74288,1,1,5,0,0
2026-05-25T20:35:35.968,374762553,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445744,445734,8,80,0,0,0,8,83,10,1,74289,74289,222867,74289,1,1,5,0,0
2026-05-25T20:35:35.973,374767551,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445750,445740,8,80,0,0,0,8,83,10,1,74290,74290,222870,74290,1,1,5,0,0
2026-05-25T20:35:35.978,374772545,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445756,445746,8,80,0,0,0,8,83,10,1,74291,74291,222873,74291,1,1,5,0,0
2026-05-25T20:35:35.983,374777547,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445762,445752,8,80,0,0,0,8,83,10,1,74292,74292,222876,74292,1,1,5,0,0
2026-05-25T20:35:35.988,374782546,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445768,445758,8,80,0,0,0,8,83,10,1,74293,74293,222879,74293,1,1,5,0,0
2026-05-25T20:35:35.993,374787546,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445774,445764,8,80,0,0,0,8,83,10,1,74294,74294,222882,74294,1,1,5,0,0
2026-05-25T20:35:35.998,374792547,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445780,445770,8,80,0,0,0,8,83,10,1,74295,74295,222885,74295,1,1,5,0,0
2026-05-25T20:35:36.003,374797548,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445786,445776,8,80,0,0,0,8,83,10,1,74296,74296,222888,74296,1,1,5,0,0
2026-05-25T20:35:36.008,374802547,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445792,445782,8,80,0,0,0,8,83,10,1,74297,74297,222891,74297,1,1,5,0,0
2026-05-25T20:35:36.013,374807548,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445798,445788,8,80,0,0,0,8,83,10,1,74298,74298,222894,74298,1,1,5,0,0
2026-05-25T20:35:36.018,374812550,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445804,445794,8,80,0,0,0,8,83,10,1,74299,74299,222897,74299,1,1,5,0,0
2026-05-25T20:35:36.023,374817546,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445810,445800,8,80,0,0,0,8,83,10,1,74300,74300,222900,74300,1,1,5,0,0
2026-05-25T20:35:36.028,374822548,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445816,445806,8,80,0,0,0,8,83,10,1,74301,74301,222903,74301,1,1,5,0,0
2026-05-25T20:35:36.033,374827549,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.1220703125,0.00048828125,-0.0244140625,1.0009765625,2,445822,445812,8,80,0,0,0,8,83,10,1,74302,74302,222906,74302,1,1,5,0,0
2026-05-25T20:35:36.038,374832545,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445828,445818,8,80,0,0,0,8,83,10,1,74303,74303,222909,74303,1,1,5,0,0
2026-05-25T20:35:36.043,374837546,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445834,445824,8,80,0,0,0,8,83,10,1,74304,74304,222912,74304,1,1,5,0,0
2026-05-25T20:35:36.048,374842546,-1.4160000085830688,-0.05299999937415123,0.0009999275207519531,0.0009999275207519531,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445840,445830,8,80,0,0,0,8,83,10,1,74305,74305,222915,74305,1,1,5,0,0
2026-05-25T20:35:36.053,374847549,-1.4160000085830688,-0.05299999937415123,0.002000093460083008,0.002000093460083008,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445846,445836,8,80,0,0,0,8,83,10,1,74306,74306,222918,74306,1,1,5,0,0
2026-05-25T20:35:36.058,374852546,-1.4160000085830688,-0.05299999937415123,0.002000093460083008,0.002000093460083008,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445852,445842,8,80,0,0,0,8,83,10,1,74307,74307,222921,74307,1,1,5,0,0
2026-05-25T20:35:36.063,374857548,-1.4160000085830688,-0.05299999937415123,0.002000093460083008,0.002000093460083008,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445858,445848,8,80,0,0,0,8,83,10,1,74308,74308,222924,74308,1,1,5,0,0
2026-05-25T20:35:36.069,374862553,-1.4160000085830688,-0.05299999937415123,0.003000020980834961,0.003000020980834961,0.0,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445864,445854,8,80,0,0,0,8,83,10,1,74309,74309,222927,74309,1,1,5,0,0
2026-05-25T20:35:36.073,374867548,-1.4160000085830688,-0.05299999937415123,0.003000020980834961,0.003000020980834961,0.0,0.244140625,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445870,445860,8,80,0,0,0,8,83,10,1,74310,74310,222930,74310,1,1,5,0,0
2026-05-25T20:35:36.078,374872546,-1.4160000085830688,-0.05299999937415123,0.003000020980834961,0.003000020980834961,0.0,0.244140625,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445876,445866,8,80,0,0,0,8,83,10,1,74311,74311,222933,74311,1,1,5,0,0
2026-05-25T20:35:36.083,374877549,-1.4160000085830688,-0.05299999937415123,0.003000020980834961,0.003000020980834961,0.0,0.244140625,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445882,445872,8,80,0,0,0,8,83,10,1,74312,74312,222936,74312,1,1,5,0,0
2026-05-25T20:35:36.088,374882548,-1.4160000085830688,-0.05299999937415123,0.003999948501586914,0.003999948501586914,0.0,0.244140625,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445888,445878,8,80,0,0,0,8,83,10,1,74313,74313,222939,74313,1,1,5,0,0
2026-05-25T20:35:36.093,374887550,-1.4160000085830688,-0.05299999937415123,0.003999948501586914,0.003999948501586914,0.0,0.244140625,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445894,445884,8,80,0,0,0,8,83,10,1,74314,74314,222942,74314,1,1,5,0,0
2026-05-25T20:35:36.098,374892549,-1.4160000085830688,-0.05299999937415123,0.003999948501586914,0.003999948501586914,0.0,0.244140625,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445900,445890,8,80,0,0,0,8,83,10,1,74315,74315,222945,74315,1,1,5,0,0
2026-05-25T20:35:36.103,374897547,-1.4160000085830688,-0.05299999937415123,0.003999948501586914,0.003999948501586914,0.0,0.244140625,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445906,445896,8,80,0,0,0,8,83,10,1,74316,74316,222948,74316,1,1,5,0,0
2026-05-25T20:35:36.108,374902546,-1.4160000085830688,-0.05299999937415123,0.005000114440917969,0.005000114440917969,0.0,0.244140625,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445912,445902,8,80,0,0,0,8,83,10,1,74317,74317,222951,74317,1,1,5,0,0
2026-05-25T20:35:36.113,374907548,-1.4160000085830688,-0.05299999937415123,0.005000114440917969,0.005000114440917969,0.06103515625,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445918,445908,8,80,0,0,0,8,83,10,1,74318,74318,222954,74318,1,1,5,0,0
2026-05-25T20:35:36.118,374912549,-1.4160000085830688,-0.05299999937415123,0.005000114440917969,0.005000114440917969,0.06103515625,0.18310546875,-0.06103515625,0.00048828125,-0.0244140625,1.0009765625,2,445924,445914,8,80,0,0,0,8,83,10,1,74319,74319,222957,74319,1,1,5,0,0
